"DateTime","total","ratio","filter","remove"
"2023-02-01 00:00:00",34,0,0,0
"2023-02-01 00:00:00",24,0,0,0
"2023-02-01 00:00:00",25,0,0,0
"2023-02-01 00:00:00",31,0,0,0
"2023-02-01 00:00:00",24,0,0,0
"2023-02-01 00:00:00",26,0,0,0
"2023-02-03 00:00:00",33,0,0,0
"2023-02-05 00:00:00",28,0,0,0
"2023-02-07 00:00:00",23,0,0,0
"2023-02-09 00:00:00",31,0,0,0
"2023-02-11 00:00:00",36,0,0,0
"2023-02-13 00:00:00",24,0,0,0
"2023-02-15 00:00:00",34,0,0,0
"2023-02-17 00:00:00",24,0,0,0
"2023-02-19 00:00:00",30,0,0,0
"2023-02-21 00:00:00",26,0,0,0
"2023-02-23 00:00:00",38,0,0,0
"2023-02-25 00:00:00",22,0,0,0
"2023-02-27 00:00:00",30,0,0,0
"2023-03-01 00:00:00",31,0,0,0
"2023-03-03 00:00:00",33,0,0,0
"2023-03-05 00:00:00",28,0,0,0
"2023-03-07 00:00:00",34,0,0,0
"2023-03-09 00:00:00",33,0,0,0
"2023-03-11 00:00:00",27,0,0,0
"2023-03-13 00:00:00",30,0,0,0
"2023-03-16 00:00:00",34,0,0,0
"2023-03-18 00:00:00",22,0,0,0
"2023-03-20 00:00:00",34,0,0,0
"2023-03-22 00:00:00",24,0,0,0
"2023-03-24 00:00:00",36,0,0,0
"2023-03-26 00:00:00",26,0,0,0
"2023-04-02 00:00:00",24,0,0,0
"2023-04-04 00:00:00",31,0,0,0
"2023-04-06 00:00:00",32,0,0,0
"2023-04-12 00:00:00",27,0,0,0
"2023-04-14 00:00:00",37,0,0,0
"2023-04-16 00:00:00",25,0,0,0
"2023-04-18 00:00:00",35,0,0,0
"2023-04-20 00:00:00",29,0,0,0
"2023-04-22 00:00:00",22,0,0,0
"2023-04-24 00:00:00",24,0,0,0
"2023-04-26 00:00:00",36,0,0,0
"2023-04-30 00:00:00",24,0,0,0
"2023-05-02 00:00:00",24,0,0,0
"2023-05-04 00:00:00",24,0,0,0
"2023-05-06 00:00:00",25,0,0,0
"2023-05-08 00:00:00",34,0,0,0
"2023-05-10 00:00:00",28,0,0,0
"2023-05-12 00:00:00",30,0,0,0
"2023-05-14 00:00:00",32,0,0,0
"2023-05-16 00:00:00",22,0,0,0
"2023-05-18 00:00:00",28,0,0,0
"2023-05-20 00:00:00",37,0,0,0
"2023-05-22 00:00:00",22,0,0,0
"2023-05-24 00:00:00",26,0,0,0
"2023-05-26 00:00:00",36,0,0,0
"2023-05-28 00:00:00",24,0,0,0
"2023-05-30 00:00:00",27,0,0,0
"2023-06-01 00:00:00",26,0,0,0
"2023-06-03 00:00:00",27,0,0,0
"2023-06-05 00:00:00",21,0,0,0
"2023-06-07 00:00:00",36,0,0,0
"2023-06-09 00:00:00",29,0,0,0
"2023-06-09 00:00:00",22,0,0,0
"2023-06-11 00:00:00",26,0,0,0
"2023-06-13 00:00:00",27,0,0,0
"2023-06-15 00:00:00",27,0,0,0
